Zone,Date,ehs_responses,responses_roll3,responses_pct_change,responses_zscore
Central,2021-03-01,344.0,344.0,,-4.493795970235403
Central,2021-04-01,3553.0,1948.5,9.328488372093023,-0.4436703847432927
Central,2021-05-01,4805.0,2900.6666666666665,0.3523782718829158,1.1364970297272967
Central,2021-06-01,3737.0,4031.6666666666665,-0.22226847034339225,-0.2114413078562412
Central,2021-07-01,3766.0,4102.666666666667,0.007760235483007749,-0.17483998595556463
Central,2021-08-01,4656.0,4053.0,0.2363250132766861,0.948441962030717
Central,2021-09-01,3814.0,4078.6666666666665,-0.18084192439862545,-0.11425848763720337
Central,2021-10-01,4555.0,4341.666666666667,0.19428421604614576,0.8209683926524985
Central,2021-11-01,3754.0,4041.0,-0.1758507135016465,-0.18998536053515494
Central,2021-12-01,3671.0,3993.3333333333335,-0.02210974960042622,-0.2947408680439879
Central,2022-01-01,4686.0,4037.0,0.27649141923181686,0.9863053984796928
Central,2022-02-01,3808.0,4055.0,-0.1873666239863423,-0.12183117492699852
Central,2022-03-01,3765.0,4086.3333333333335,-0.011292016806722649,-0.17610210050386382
Central,2022-04-01,3789.0,3787.3333333333335,0.0063745019920318224,-0.14581135134468318
Central,2022-05-01,4835.0,4129.666666666667,0.2760622855634731,1.1743604661762725
Central,2022-06-01,3912.0,4178.666666666667,-0.190899689762151,0.009428738096117533
Central,2022-07-01,5082.0,4609.666666666667,0.29907975460122693,1.486102759606173
Central,2022-08-01,3790.0,4261.333333333333,-0.25423061786698153,-0.14454923679638398
Central,2022-09-01,3773.0,4215.0,-0.004485488126649062,-0.16600518411747026
Central,2022-10-01,4678.0,4080.3333333333335,0.23986217863768888,0.9762084820932992
Central,2022-11-01,3640.0,4030.3333333333335,-0.22188969645147494,-0.3338664190412629
Central,2022-12-01,3478.0,3932.0,-0.04450549450549446,-0.5383289758657321
Central,2023-01-01,4229.0,3782.3333333333335,0.21592869465209885,0.40951904990696164
Central,2023-02-01,3475.0,3727.3333333333335,-0.17829274060061484,-0.5421153195106297
Central,2023-03-01,3441.0,3715.0,-0.009784172661870483,-0.5850272141528022
Central,2023-04-01,4183.0,3699.6666666666665,0.21563498982853813,0.3514617806851988
Central,2023-05-01,3471.0,3698.3333333333335,-0.17021276595744683,-0.5471637777038265
Central,2023-06-01,3518.0,3724.0,0.013540766349755096,-0.48784439393376444
Central,2023-07-01,4403.0,3797.3333333333335,0.2515633882888004,0.6291269813110212
Central,2023-08-01,3628.0,3849.6666666666665,-0.1760163524869407,-0.3490117936208532
Central,2023-09-01,3751.0,3927.3333333333335,0.03390297684674759,-0.19377170418005252
Central,2023-10-01,4625.0,4001.3333333333335,0.23300453212476668,0.909316411033442
Central,2023-11-01,3647.0,4007.6666666666665,-0.21145945945945943,-0.3250316172031686
Central,2023-12-01,4492.0,4254.666666666667,0.23169728544008783,0.7414551761096494
Eastern,2021-03-01,154.0,154.0,,-4.377911403279621
Eastern,2021-04-01,1696.0,925.0,10.012987012987013,-0.3288492177109803
Eastern,2021-05-01,2193.0,1347.6666666666667,0.2930424528301887,0.9761987111007022
Eastern,2021-06-01,1739.0,1876.0,-0.2070223438212494,-0.2159376262846174
Eastern,2021-07-01,1801.0,1911.0,0.035652673950546276,-0.053134866553582565
Eastern,2021-08-01,2235.0,1925.0,0.24097723486951694,1.0864844515636614
Eastern,2021-09-01,1769.0,1935.0,-0.2085011185682326,-0.13716209738250376
Eastern,2021-10-01,2077.0,2027.0,0.17410966647823622,0.6715999993458629
Eastern,2021-11-01,1694.0,1846.6666666666667,-0.1844005777563794,-0.3341009196377879
Eastern,2021-12-01,1724.0,1831.6666666666667,0.017709563164108655,-0.25532539073567423
Eastern,2022-01-01,2012.0,1810.0,0.16705336426914164,0.5009196867246166
Eastern,2022-02-01,1804.0,1846.6666666666667,-0.1033797216699801,-0.0452573136633712
Eastern,2022-03-01,1807.0,1874.3333333333333,0.001662971175166339,-0.03737976077315984
Eastern,2022-04-01,1804.0,1805.0,-0.0016602102933037655,-0.0452573136633712
Eastern,2022-05-01,2290.0,1967.0,0.26940133037694003,1.2309062545508695
Eastern,2022-06-01,1750.0,1948.0,-0.23580786026200873,-0.18705326568717573
Eastern,2022-07-01,2431.0,2157.0,0.38914285714285723,1.6011512403908037
Eastern,2022-08-01,1869.0,2016.6666666666667,-0.23118058412176057,0.125422998957875
Eastern,2022-09-01,1939.0,2079.6666666666665,0.03745318352059934,0.30923256639614016
Eastern,2022-10-01,2307.0,2038.3333333333333,0.18978855079938106,1.275545720928734
Eastern,2022-11-01,1654.0,1966.6666666666667,-0.2830515821413091,-0.4391349581739394
Eastern,2022-12-01,1642.0,1867.6666666666667,-0.00725513905683195,-0.4706451697347848
Eastern,2023-01-01,1982.0,1759.3333333333333,0.2070645554202193,0.42214415782250303
Eastern,2023-02-01,1549.0,1724.3333333333333,-0.21846619576185666,-0.7148493093313371
Eastern,2023-03-01,1547.0,1692.6666666666667,-0.0012911555842478606,-0.7201010112581446
Eastern,2023-04-01,2008.0,1701.3333333333333,0.29799612152553334,0.4904162828710015
Eastern,2023-05-01,1600.0,1718.3333333333333,-0.20318725099601598,-0.5809309101977439
Eastern,2023-06-01,1662.0,1756.6666666666667,0.03875000000000006,-0.41812815046670904
Eastern,2023-07-01,2101.0,1787.6666666666667,0.2641395908543922,0.7346204224675538
Eastern,2023-08-01,1602.0,1788.3333333333333,-0.23750594954783433,-0.5756792082709363
Eastern,2023-09-01,1613.0,1772.0,0.006866416978776435,-0.5467948476734946
Eastern,2023-10-01,2046.0,1753.6666666666667,0.26844389336639796,0.5901986194803455
Eastern,2023-11-01,1672.0,1777.0,-0.18279569892473113,-0.3918696408326712
Eastern,2023-12-01,2149.0,1955.6666666666667,0.2852870813397128,0.8606612687109356
Northern,2021-03-01,161.0,161.0,,-4.392595640515252
Northern,2021-04-01,1727.0,944.0,9.726708074534162,-0.6469300049676211
