Zone,Date,pc_visits,pc_visits_roll3,pc_visits_pct_change,ehs_responses,ehs_responses_roll3,ehs_responses_pct_change,responses_zscore
Central,2021-04-01,926.0,769.3333333333334,0.1251518833535845,3553.0,1948.5,9.328488372093023,-0.4436703847432927
Central,2021-05-01,534.0,761.0,-0.4233261339092873,4805.0,2900.6666666666665,0.3523782718829158,1.1364970297272967
Central,2021-06-01,800.0,753.3333333333334,0.4981273408239701,3737.0,4031.6666666666665,-0.2222684703433922,-0.2114413078562412
Central,2021-07-01,533.0,622.3333333333334,-0.33375,3766.0,4102.666666666667,0.0077602354830077,-0.1748399859555646
Central,2021-08-01,684.0,672.3333333333334,0.2833020637898686,4656.0,4053.0,0.2363250132766861,0.948441962030717
Central,2021-09-01,611.0,609.3333333333334,-0.1067251461988304,3814.0,4078.6666666666665,-0.1808419243986254,-0.1142584876372033
Central,2021-10-01,282.0,525.6666666666666,-0.5384615384615384,4555.0,4341.666666666667,0.1942842160461457,0.8209683926524985
Central,2022-03-01,1.0,298.0,-0.99645390070922,3765.0,4086.3333333333335,-0.0112920168067226,-0.1761021005038638
Central,2022-04-01,8994.0,3092.333333333333,8993.0,3789.0,3787.3333333333335,0.0063745019920318,-0.1458113513446831
Central,2022-05-01,9228.0,6074.333333333333,0.0260173448965976,4835.0,4129.666666666667,0.2760622855634731,1.1743604661762723
Central,2022-06-01,9984.0,9402.0,0.081924577373212,3912.0,4178.666666666667,-0.190899689762151,0.0094287380961175
Central,2022-07-01,10528.0,9913.333333333334,0.0544871794871795,5082.0,4609.666666666667,0.2990797546012269,1.486102759606173
Central,2022-08-01,11259.0,10590.333333333334,0.0694338905775076,3790.0,4261.333333333333,-0.2542306178669815,-0.1445492367963839
Central,2022-09-01,11453.0,11080.0,0.0172306599165112,3773.0,4215.0,-0.004485488126649,-0.1660051841174702
Central,2022-10-01,10594.0,11102.0,-0.0750021828341919,4678.0,4080.3333333333335,0.2398621786376888,0.9762084820932992
Central,2022-11-01,11678.0,11241.666666666666,0.1023220690957145,3640.0,4030.3333333333335,-0.2218896964514749,-0.3338664190412629
Central,2022-12-01,11677.0,11316.333333333334,-8.563110121595496e-05,3478.0,3932.0,-0.0445054945054944,-0.5383289758657321
Central,2023-01-01,11282.0,11545.666666666666,-0.0338271816391196,4229.0,3782.3333333333335,0.2159286946520988,0.4095190499069616
Central,2023-02-01,11478.0,11479.0,0.0173728062400284,3475.0,3727.3333333333335,-0.1782927406006148,-0.5421153195106297
Central,2023-03-01,11931.0,11563.666666666666,0.0394668060637741,3441.0,3715.0,-0.0097841726618704,-0.5850272141528022
Central,2023-04-01,14857.0,12755.333333333334,0.2452434833626686,4183.0,3699.6666666666665,0.2156349898285381,0.3514617806851988
Central,2023-05-01,14253.0,13680.333333333334,-0.0406542370599717,3471.0,3698.3333333333335,-0.1702127659574468,-0.5471637777038265
Central,2023-06-01,17124.0,15411.333333333334,0.2014312776257629,3518.0,3724.0,0.013540766349755,-0.4878443939337644
Central,2023-07-01,17572.0,16316.333333333334,0.026162111656155,4403.0,3797.3333333333335,0.2515633882888004,0.6291269813110212
Central,2023-08-01,18901.0,17865.666666666668,0.0756316867744137,3628.0,3849.6666666666665,-0.1760163524869407,-0.3490117936208532
Central,2023-09-01,20110.0,18861.0,0.0639648695836199,3751.0,3927.3333333333335,0.0339029768467475,-0.1937717041800525
Central,2023-10-01,19199.0,19403.33333333333,-0.0453008453505718,4625.0,4001.3333333333335,0.2330045321247666,0.909316411033442
Central,2023-11-01,21089.0,20132.666666666668,0.0984426272201677,3647.0,4007.6666666666665,-0.2114594594594594,-0.3250316172031686
