Zone,Date,primary_care_visits,visits_roll3,visits_pct_change
Central,2020-12-01,589.0,589.0,
Central,2021-01-01,363.0,476.0,-0.38370118845500845
Central,2021-02-01,559.0,503.6666666666667,0.5399449035812671
Central,2021-03-01,823.0,581.6666666666666,0.47227191413237923
Central,2021-04-01,926.0,769.3333333333334,0.12515188335358451
Central,2021-05-01,534.0,761.0,-0.4233261339092873
Central,2021-06-01,800.0,753.3333333333334,0.49812734082397014
Central,2021-07-01,533.0,622.3333333333334,-0.33375
Central,2021-08-01,684.0,672.3333333333334,0.28330206378986866
Central,2021-09-01,611.0,609.3333333333334,-0.10672514619883045
Central,2021-10-01,282.0,525.6666666666666,-0.5384615384615384
Central,2022-03-01,1.0,298.0,-0.9964539007092199
Central,2022-04-01,8994.0,3092.3333333333335,8993.0
Central,2022-05-01,9228.0,6074.333333333333,0.026017344896597683
Central,2022-06-01,9984.0,9402.0,0.08192457737321202
Central,2022-07-01,10528.0,9913.333333333334,0.054487179487179516
Central,2022-08-01,11259.0,10590.333333333334,0.0694338905775076
Central,2022-09-01,11453.0,11080.0,0.017230659916511293
Central,2022-10-01,10594.0,11102.0,-0.07500218283419191
Central,2022-11-01,11678.0,11241.666666666666,0.10232206909571451
Central,2022-12-01,11677.0,11316.333333333334,-8.563110121595496e-05
Central,2023-01-01,11282.0,11545.666666666666,-0.033827181639119686
Central,2023-02-01,11478.0,11479.0,0.01737280624002846
Central,2023-03-01,11931.0,11563.666666666666,0.039466806063774174
Central,2023-04-01,14857.0,12755.333333333334,0.24524348336266866
Central,2023-05-01,14253.0,13680.333333333334,-0.04065423705997173
Central,2023-06-01,17124.0,15411.333333333334,0.20143127762576296
Central,2023-07-01,17572.0,16316.333333333334,0.026162111656155007
Central,2023-08-01,18901.0,17865.666666666668,0.07563168677441379
Central,2023-09-01,20110.0,18861.0,0.06396486958361991
Central,2023-10-01,19199.0,19403.333333333332,-0.04530084535057188
Central,2023-11-01,21089.0,20132.666666666668,0.09844262722016772
Central,2023-12-01,21105.0,20464.333333333332,0.0007586893641233772
Eastern,2020-12-01,333.0,333.0,
Eastern,2021-01-01,234.0,283.5,-0.29729729729729726
Eastern,2021-02-01,308.0,291.6666666666667,0.3162393162393162
Eastern,2021-03-01,208.0,250.0,-0.3246753246753247
Eastern,2021-04-01,422.0,312.6666666666667,1.0288461538461537
Eastern,2021-05-01,328.0,319.3333333333333,-0.22274881516587675
Eastern,2021-06-01,384.0,378.0,0.1707317073170731
Eastern,2021-07-01,303.0,338.3333333333333,-0.2109375
Eastern,2021-08-01,354.0,347.0,0.16831683168316824
Eastern,2021-09-01,446.0,367.6666666666667,0.25988700564971756
Eastern,2021-10-01,358.0,386.0,-0.19730941704035876
Eastern,2021-11-01,583.0,462.3333333333333,0.6284916201117319
Eastern,2021-12-01,1735.0,892.0,1.9759862778730701
Eastern,2022-01-01,1676.0,1331.3333333333333,-0.03400576368876085
Eastern,2022-02-01,2021.0,1810.6666666666667,0.20584725536992843
Eastern,2022-03-01,1991.0,1896.0,-0.014844136566056432
Eastern,2022-04-01,5964.0,3325.3333333333335,1.995479658463084
Eastern,2022-05-01,5779.0,4578.0,-0.031019450033534568
Eastern,2022-06-01,6212.0,5985.0,0.07492645786468244
Eastern,2022-07-01,6194.0,6061.666666666667,-0.0028976175144881378
Eastern,2022-08-01,6461.0,6289.0,0.04310623183726192
Eastern,2022-09-01,7387.0,6680.666666666667,0.1433214672651293
Eastern,2022-10-01,6268.0,6705.333333333333,-0.15148233382970078
Eastern,2022-11-01,7858.0,7171.0,0.2536694320357371
Eastern,2022-12-01,7889.0,7338.333333333333,0.003945024179180523
Eastern,2023-01-01,7594.0,7780.333333333333,-0.03739383952338704
Eastern,2023-02-01,8123.0,7868.666666666667,0.06966025809849885
Eastern,2023-03-01,7411.0,7709.333333333333,-0.08765234519266285
Eastern,2023-04-01,9709.0,8414.333333333334,0.3100796113884765
Eastern,2023-05-01,8840.0,8653.333333333334,-0.08950458337624889
Eastern,2023-06-01,10934.0,9827.666666666666,0.2368778280542987
Eastern,2023-07-01,10386.0,10053.333333333334,-0.05011889518931767
